시간,규모,진앙,위도,경도,위치
2013-09-145:33:00PM,2.2,21,36.2,126.16,충남보령시서남서쪽43km해역
2013-09-151:16:00PM,2.3,16,36.55,129.23,경북영양군남동쪽16km지역
2013-10-101:08:00PM,2.6,8,35.36,128.23,경남의령군북서쪽5km지역
2013-10-114:06:00PM,3.6,16,36.46,129.61,경북영덕군동북동쪽22km해역
2013-10-1912:16:00AM,2,8,35.96,128.06,경북김천시남쪽20km지역
2013-10-266:47:00AM,2.7,8,37.96,124.61,인천백령도서쪽6km해역
2013-11-087:14:00PM,2.6,21,36.23,126.36,충남보령시서남서쪽25km해역
2013-11-089:02:00PM,3,18,36.24,126.36,충남보령시서남서쪽25km해역
2013-11-104:28:00PM,2,3,37.66,124.67,인천백령도남쪽33km해역
2013-11-1610:32:00PM,2.1,5,38.51,125.66,북한황해북도사리원서쪽9km지역
2013-11-209:07:00PM,2.1,10,38.47,126.17,북한황해북도평산북서쪽25km지역
2013-11-2211:29:00PM,2.1,10,36.99,126.4,충남서산시북북서쪽24km지역
2013-11-262:26:00AM,2.1,12,37.12,128.11,충북제천시서남서쪽10km지역
2013-12-028:02:00PM,2.8,8,38.56,126.1,북한황해북도사리원동북동쪽30km지역
2013-12-039:00:00PM,2.5,13,35.64,128.72,경북청도군서남서쪽2km지역
2013-12-046:28:00AM,2.4,0,38.71,125.69,북한황해북도송림동남동쪽6km지역
2013-12-084:38:00PM,2.8,0,33.44,125.09,제주제주시고산서쪽101km해역
2013-12-1311:40:00AM,2.5,11,36.1,129.04,경북영천시북북동쪽17km지역
2013-12-1912:38:00PM,2.9,0,38.11,127.11,경기연천군동북동쪽3km지역
2014-01-296:08:00AM,2.2,11,36.23,128.8,경북의성군남동쪽16km지역
2014-02-0511:06:00PM,2.8,7,38.26,124.4,북한황해남도용연군장산곶서북서쪽29km해역
2014-02-219:17:00PM,2.7,6,35.05,127.75,전남광양시북북동쪽13km지역
2014-02-228:44:00PM,2.6,0,38.31,124.27,북한황해남도용연군장산곶서북서쪽42km해역
2014-02-283:20:00AM,2.4,0,38.74,125.01,북한남포서쪽22km해역
2014-03-1111:39:00AM,2.7,12,35.86,128.47,대구달성군서북서쪽9km지역
2014-03-1412:59:00PM,2.5,2,39.41,126.09,북한평안남도성천북북서쪽21km지역
2014-03-2810:40:00AM,3,19,36.47,127.93,경북상주시서북서쪽22km지역
2014-04-014:48:00AM,5.1,8,36.95,124.5,충남태안군서격렬비도서북서쪽100km해역
2014-04-019:25:00AM,2.3,7,36.95,124.5,충남태안군서격렬비도서북서쪽100km해역
2014-04-086:19:00AM,2.7,9,36.96,124.44,충남태안군서격렬비도서북서쪽105km해역
2014-04-121:44:00AM,2.6,14,33.52,126.9,제주제주시동쪽34km지역
2014-04-132:02:00PM,2.9,2,36.93,124.52,충남태안군서격렬비도서북서쪽97km해역
2014-04-2512:14:00PM,2.9,8,35.97,128.04,경북김천시남남서쪽19km지역
2014-04-262:08:00PM,2.7,19,36.46,127.93,경북상주시서북서쪽21km지역
2014-05-158:46:00AM,3.4,18,33,126.21,제주제주시고산남쪽33km해역
2014-06-051:29:00PM,2.3,19,35.97,128.62,대구동구북쪽10km지역
2014-06-084:05:00AM,2.6,19,33.52,125.96,제주제주시고산북서쪽31km해역
2014-06-189:59:00AM,2.1,10,35.91,128.66,대구동구북쪽4km지역
2014-06-218:29:00AM,2.6,0,38.77,125.89,북한황해북도송림동쪽22km지역
2014-07-039:57:00PM,3.5,16,35.66,129.76,울산동구동북동쪽35km해역
2014-07-0310:04:00PM,2.6,0,35.66,129.82,울산동구동북동쪽40km해역
2014-07-0412:11:00AM,2.5,0,35.65,129.81,울산동구동북동쪽39km해역
2014-07-044:13:00AM,2.9,13,35.66,129.78,울산동구동북동쪽37km해역
2014-07-046:27:00AM,2.2,13,34.51,125.41,전남신안군흑산면남남서쪽17km해역
2014-08-021:32:00AM,2.2,14,37.4,127.2,경기광주시서남서쪽5km지역
2014-08-056:16:00AM,2.5,,40.11,127.2,북한함경남도신흥서북서쪽20km지역
2014-08-106:07:00PM,2.4,,38.15,126.63,북한개성북북동쪽21km지역
2014-08-1612:51:00AM,2.1,12,33.59,126.58,제주제주시북북동쪽11km해역
2014-08-185:13:00AM,2.1,7,36.57,125.64,충남태안군서격렬비도동남동쪽10km해역
2014-08-2110:30:00PM,2.7,21,33.87,127.83,전남여수시거문도동남동쪽51km해역
2014-09-0912:24:00AM,2.2,11,35.68,129.38,경북경주시남동쪽23km지역
2014-09-233:27:00PM,3.5,14,35.8,129.41,경북경주시동남동쪽18km지역
2014-09-252:26:00AM,3.8,14,35.07,129.94,울산동구남동쪽67km해역
2014-09-289:32:00PM,3.2,8,37.24,126.44,인천옹진군남서쪽30km지역
2014-10-014:34:00PM,2.2,11,36.67,125.45,충남태안군서격렬비도북서쪽11km해역
2014-10-071:57:00AM,2.9,,33.3,125.96,제주제주시고산서쪽19km해역
2014-10-1110:11:00PM,2.3,16,37.73,129.43,강원동해시북동쪽36km해역
2014-10-197:57:00PM,2.6,,36.44,128.19,경북상주시북동쪽4km지역
2014-10-209:15:00PM,2.2,0,33.68,125.88,제주제주시고산북북서쪽50km해역
2014-10-216:33:00AM,2.3,20,35.21,129.49,부산기장군동쪽24km해역
2014-10-287:07:00PM,2.2,19,38,125.34,북한황해남도옹진북북동쪽8km지역
2014-11-064:25:00AM,2.5,,37.23,126.44,인천옹진군남남서쪽30km해역
2014-11-062:48:00PM,2.3,18,33.34,125.89,제주제주시고산서북서쪽26km해역
2014-11-153:31:00AM,2.5,20,38.77,126.36,북한황해북도신계북북서쪽34km지역
2014-12-085:28:00AM,3.3,23,34.75,127.17,전남보성군동남동쪽8km지역
2014-12-159:08:00AM,2.1,0,39.09,126.52,북한평안남도양덕남서쪽16km지역
2014-12-248:33:00PM,2.1,6,35.89,127.33,전북완주군동쪽15km지역
2014-12-303:36:00PM,2.6,,35.21,124.79,전남신안군흑산면북서쪽88km해역
2015-01-061:06:00PM,2.8,12,38.43,126.28,북한황해북도평산북서쪽17km지역
2015-01-088:15:00PM,3.5,16,37.51,125.63,인천옹진군연평도남남서쪽18km해역
2015-01-315:10:00AM,2.2,16,36.6,129.45,경북영덕군북북동쪽22km해역
2015-02-037:54:00PM,2.1,17,33.61,127.57,전남여수시거문도남남동쪽52km해역
2015-02-192:25:00PM,2.1,9,36.09,125.05,충남태안군서격렬비도남서쪽71km해역
2015-02-234:54:00AM,2.7,23,32.96,126.25,제주제주시고산남남동쪽38km해역
2015-03-101:10:00PM,2.7,5,37.36,125.15,인천옹진군연평도남서쪽59km해역
2015-03-1912:54:00PM,2.2,10,34.16,128.37,경남통영시욕지도남남동쪽54km해역
2015-03-194:20:00PM,2.7,21,36.43,127.65,충북옥천군북북동쪽16km지역
2015-04-136:02:00PM,3.3,10,37.18,125.47,인천옹진군연평도남남서쪽58km해역
2015-04-154:10:00AM,2.9,15,35.14,129.93,울산동구남동쪽61km해역
2015-04-212:05:00AM,2.1,12,35.88,129.75,경북포항시남구동남동쪽38km해역
2015-04-2410:14:00AM,2.3,20,35.88,129.69,경북포항시남구동남동쪽33km해역
2015-06-021:01:00AM,2,17,36.76,129.98,경북울진군동남동쪽57km해역
2015-06-078:54:00PM,2.1,13,33.79,126.16,제주제주시북서쪽48km해역
2015-06-1712:55:00AM,2.3,5,38.41,125.57,북한황해남도안악남남동쪽13km지역
2015-06-2212:02:00PM,2.6,7,35.85,125,충남태안군서격렬비도남남서쪽96km해역
2015-06-2212:44:00PM,2.4,7,36.35,127.24,충남공주시남동쪽15km지역
2015-07-048:49:00AM,2.1,15,36.32,128.18,경북상주시남쪽10km지역
2015-07-0811:01:00AM,2,16,37.63,125.86,인천옹진군연평도동남동쪽14km해역
2015-07-142:34:00PM,2.8,6,33.24,127.01,제주서귀포시성산남동쪽20km해역
2015-07-189:15:00PM,2.3,7,36.07,128.08,경북김천시남남서쪽7km지역
2015-07-201:33:00AM,2.2,20,33.26,127.21,제주서귀포시성산동남동쪽34km해역
2015-07-234:02:00AM,2.6,9,33.22,127.05,제주서귀포시성산남동쪽24km해역
2015-07-309:39:00AM,2.2,14,35.15,127.98,경남사천시북서쪽12km지역
2015-08-0111:58:00PM,2.2,22,35.32,127.45,전남구례군북쪽13km지역
2015-08-023:22:00AM,2.1,6,37.19,128.44,강원영월군서북서쪽2km지역
2015-08-0310:11:00AM,3.7,20,33.26,127.06,제주서귀포시성산남동쪽22km해역
2015-08-125:09:00PM,2.2,17,37.17,127.5,경기이천시남남동쪽13km지역
2015-08-174:56:00PM,2.5,8,37.2,125.38,인천옹진군연평도남남서쪽59km해역
2015-08-239:19:00AM,2.5,15,36.38,129.77,경북영덕군동쪽36km해역
2015-09-011:47:00PM,2.5,6,39.09,126.53,북한평안남도양덕남서쪽16km지역
2015-09-034:53:00AM,2.7,19,33.27,127.04,제주서귀포시성산남동쪽20km해역
2015-09-1810:12:00AM,2.1,15,34.7,128.75,경남통영시매물도동북동쪽17km해역
2015-10-019:21:00AM,2.5,17,35.78,129.14,경북경주시남서쪽9km지역
2015-10-012:06:00PM,2.1,18,35.78,129.14,경북경주시남서쪽9km지역
2015-10-1112:55:00AM,2.1,19,33.3,127.02,제주서귀포시성산남동쪽16km해역
2015-10-2611:29:00PM,2.1,24,34.09,126.85,전남완도군남남동쪽26km해역
2015-10-303:17:00PM,2.9,17,35.74,129.37,경북경주시남동쪽18km지역
2015-11-138:04:00PM,2.6,18,35.8,129.42,경북경주시동남동쪽19km지역
2015-11-2411:27:00AM,3.2,13,35.67,129.82,울산동구동북동쪽41km해역
2015-11-242:10:00PM,2.4,14,35.69,129.75,울산동구북동쪽36km해역
2015-12-111:25:00AM,2.1,14,36.9,126.58,충남당진시서북서쪽5km지역
2015-12-224:31:00AM,3.9,11,36.02,126.95,전북익산시북쪽8km지역
2016-01-068:39:00PM,3,7,36.01,128.07,경북김천시남쪽14km지역
2016-01-237:14:00AM,2.4,7,38.42,126.25,북한황해북도평산군북서쪽16km지역
2016-01-256:40:00PM,2.3,20,36.22,128.69,경북의성군남쪽14km지역
